;;;;;;;;;;;X,,
fengjian;封建诸侯制;;;;;;;;;;X,,
feudal_empire_ruler;皇帝;;;;;;;;;;X,,
steppe_horde;草原游牧制;;;;;;;;;;X,,
steppe_horde_desc;草原游牧部落由于其生活环境于中原完全不同，因而发展出了完全不同的政治体制，他们以劫掠为生，他们的眼中只有财物和鲜血;;;;;;;;;;X,,
steppe_horde_ruler;大单于;;;;;;;;;;X,,
republican_dictatorship;圣王禅让制;;;;;;;;;;X,,
republican_dictatorship_desc;圣王禅让制是传说中尧舜时代的理想制度，贤者把王位传给合适的贤者，而不是他的子嗣。事实上，这也是部落公社制度的遗留表现。;;;;;;;;;;X,,
republican_dictatorship_ruler;圣王;;;;;;;;;;X,,
god_kingdom;神国仙境;;;;;;;;;;X,,
god_kingdom_desc;神仙的国度，其制度与众不同，不干预人世间的俗务，只追求精神上的安宁。;;;;;;;;;;X,,
god_kingdom_ruler;天帝;;;;;;;;;;X,,
small_city;小国寡民制;;;;;;;;;;X,,
small_city_desc;弱小的国家无力抗衡天下霸权，转而走向政治上的另一种极端，在外交上完全依附于霸权国家，保持国家的弱小而不求发展，以此换取社会的安宁;;;;;;;;;;X,,
small_city_ruler;国君;;;;;;;;;;X,,
datongwangdao;大同王道制;;;;;;;;;;X,,
datongwangdao_desc;社会大同是古代政治的最高理想，所谓“老吾老，以及人之老”“天下为公”等想法的施行意味着国家从实际意义上已经不存在。;;;;;;;;;;X,,
datongwangdao_ruler;圣王;;;;;;;;;;X,,
mojiajuzi;非攻巨子制;;;;;;;;;;X,,
mojiajuzi_desc;墨家理想的达成，以巨子为领袖，施行墨翟兼爱非攻的主张，国民严格遵守制定的规章，不求私利，一切为公;;;;;;;;;;X,,
mojiajuzi_ruler;巨子;;;;;;;;;;X,,
tribal_despotism_reform_title;仿习中华之制;;;;;;;;;;;;;x,,
tribal_despotism_reform_desc;我国本为蛮夷之邦，但长期与中原的交流和接触使得我国与华夏的文化想接近，我们的君主决心在政治上进行改革;;;;;;;;;;;;;x,,
steppe_horde_reform_title;游牧定居;;;;;;;;;;;;;x,,
steppe_horde_reform_desc;我国本为游牧渔猎之部落，长期以来居无定所，如今我们拥有了富饶的土地，众多的人口，是时候定居下来了;;;;;;;;;;;;;x,,
mojiajuzi_reform_title;建立墨家政权;;;;;;;;;;;;;x,,
mojiajuzi_reform_desc;墨家已经控制了国家上下的机构，君主和人民都已经决心奉行墨家的信仰，巨子将成为我们的领袖;;;;;;;;;;;;;x,,
small_city_reform_title;施行小国寡民制;;;;;;;;;;;;;x,,
small_city_reform_desc;我国弱小无助，与其图强，不如保持小国寡民的制度，反而得以自保;;;;;;;;;;;;;x,,
noble_republic_reform_title;施行周召共和;;;;;;;;;;;;;x,,
noble_republic_reform_desc;君王年幼无知，为了维护国家的稳固，是时候施行周召共和制度了;;;;;;;;;;;;;x,,
TERM_FOR_LIFE;统治者将执政直到死亡;;;;;;;;;;X,,
TERM_DURATION;每$YEARS$年举行选举. ;;;;;;;;;;X,,
EVTNAME875;推举！ ;;;;;;;;;;X,,
EVTDESC875; $MONARCH$ 的任期已满. 有足够的支持者\n他就可以留在这里, 但是他必须击败三个主要\n竞争对手...;;;;;;;;;;X,
EVTDESC876; $MONARCH$ 的不幸逝世迫使我们举行一次\n临时的选举. 三个主要的候选人被提名...;;;;;;;;;;X,,
EVTOPTA875;留任 $MONARCH$ ;;;;;;;;;;X,,
EVTOPTB875;内政智者;;;;;;;;;;X,,
EVTOPTC875;纵横奇才;;;;;;;;;;X,,
EVTOPTD875;戎马世家;;;;;;;;;;X,,
yinshangjunzhi;殷商制度;;;;;;;;;;X,,
yinshangjunzhi_desc;以制度落后以及叛乱为代价换来了极高的稳定，但也不失为一个可靠的保证制度，毕竟也有经验。;;;;;;;;;;X,,
yinshangjunzhi_ruler;商王;;;;;;;;;;X,,
merchant_republic;商业共和制;;;;;;;;;;X,,
merchant_republic_desc;过于激进的商贸政策导致君主权力体系崩坏，国君沦为有名无实的傀儡，国家权力实际掌握在商人手中;;;;;;;;;;X,,
merchant_republic_ruler;司徒;;;;;;;;;;X,,
