;;;;;;;;;;X
EVTDESC9205; $PROVINCENAME$ 已被攻克, \n$MONARCHTITLE$ $MONARCH$ \n允许攻城部队为所欲为. \n这极大的增加了军队对他的拥戴. ;;;;;;;;;;X
EVTOPTA9205; $MONARCH$ 奖赏士兵. ;;;;;;;;;;X
IS_NOT_TRIBE;不是部落. ;;;;;;;;;;X
IS_TRIBE;是部落. ;;;;;;;;;;X
EVTNAME400;缺乏威望影响我国势力范围;;;;;;;;;;X
EVTDESC400;由于缺乏威望, \n$COUNTRY_ADJ$的势力范围难以得到承认. \n我们要放弃一些王位宣称, 或者实施一些变革. ;;;;;;;;;;X
EVTOPTA400;一些改变会有帮助. ;;;;;;;;;;X
EVTOPTB400;不关心. ;;;;;;;;;;X
EVTNAME401;$DYNASTY$的威望衰减. ;;;;;;;;;;X
EVTDESC401;$MONARCHTITLE$ $MONARCH$ 的极低威望\n使 $COUNTRY$ 的势力范围难以得到承认. \n如果继续下去, 最终会减少$DYNASTY$\n的正统性. ;;;;;;;;;;X
EVTOPTA401;正统性算什么. ;;;;;;;;;;X
EVTOPTB401;确保王位稳固. ;;;;;;;;;;X
EVTNAME402;天子质疑我国势力范围;;;;;;;;;;X
EVTDESC402;由于缺乏威望, 天子对$COUNTRY_ADJ$\n的势力范围并不满意. 他向几个枢机主教暗示\n要我们让出几个王位. ;;;;;;;;;;X
EVTOPTA402;天子可能说对了. ;;;;;;;;;;X
EVTOPTB402;我们不关心势力范围. ;;;;;;;;;;X
EVTNAME403; $COUNTRY$ 威望过低;;;;;;;;;;X
EVTDESC403;低威望带来很少的尊重. \n这导致其他国家减弱对我们保持势力范围的信心. \n但是我们仍然可以通过战争来满足我们的要求. ;;;;;;;;;;X
EVTOPTA403;说的对! ;;;;;;;;;;X
EVTOPTB403;我们不关心势力范围. ;;;;;;;;;;X
non_patrolled;缺乏海军巡逻;;;;;;;;;;X
MILITARY_TACTICS;军事战术;;;;;;;;;;X
ADD_TO_SPHERE;$WHO$成为$LEADER$的势力范围. \n;;;;;;;;;;X
REMOVE_FROM_SPHERE;$LEADER$不再能宣称$WHO$是其势力范围. \n;;;;;;;;;;X
ANY_SPHERE_STARTS;势力范围;;;;;;;;;;X
HAS_SPHERE;有势力范围. ;;;;;;;;;;X
HAS_NO_SPHERE;没有势力范围. ;;;;;;;;;;X
SHIPS_IN_RANGE;附近的舰队使巡逻半径增大. \n;;;;;;;;;;X
HAVE_NOT_CORE_CLAIM_AGAINST;对下列国家没有收复核心宣战理由:\n ;;;;;;;;;;X
HAVE_CORE_CLAIM_AGAINST;对下列国家有收复核心宣战理由:\n ;;;;;;;;;;X
HAVE_NOT_CG_CLAIM_AGAINST;对下列国家没有不同文化圈宣战理由:\n ;;;;;;;;;;X
HAVE_CG_CLAIM_AGAINST;对下列国家有不同文化圈宣战理由:\n ;;;;;;;;;;X
HAVE_NOT_RG_CLAIM_AGAINST;对下列国家没有不同宗教圈宣战理由:\n ;;;;;;;;;;X
HAVE_RG_CLAIM_AGAINST;对下列国家有不同宗教圈宣战理由:\n ;;;;;;;;;;X
HAVE_NOT_BORDER_CLAIM_AGAINST;对下列国家没有边境纠纷宣战理由:\n ;;;;;;;;;;X
HAVE_BORDER_CLAIM_AGAINST;对下列国家有边境纠纷宣战理由:\n ;;;;;;;;;;X
CHOOSE_CB;选择宣战理由: ;;;;;;;;;;X
STABILITY_EFFECTS;对稳定的影响: ;;;;;;;;;;X
ATTACK_NO_CB;直接宣战 ;;;;;;;;;;X
JIHAD;圣战;;;;;;;;;;X
DEFECTED_IN_THE_LAST;背叛过盟友;;;;;;;;;;X
NOT_DEFECTED_IN_THE_LAST;没有背叛盟友;;;;;;;;;;X
IS_NOT_PREVIOUS_OWNER;不是前拥有者:;;;;;;;;;;X
IS_PREVIOUS_OWNER;是前拥有者:;;;;;;;;;;X
ARE_NOT_PRIMITIVES;不是原始国家;;;;;;;;;;X
ARE_PRIMITIVES;是原始国家;;;;;;;;;;X
CONCEDE_DEFEAT;$WHO$将承认失败. ;;;;;;;;;;X
PEACE_EFFECTS;因为$THE$$CASUS$ 宣战理由, \n$ACTIVE$将得到$PRESTIGE$威望和$BADBOY$恶名. ;;;;;;;;;;X
PEACE_DEFENDER_EFFECTS;作为防御方, $ACTIVE$将得到$PRESTIGE$威望和$BADBOY$恶名. ;;;;;;;;;;X
THE; ;;;;;;;;;;X
nocasusbelli;无宣战理由;;;;;;;;;;X
nocasusbelli_desc;我们没有合法的战争理由. ;;;;;;;;;;X
cb_defection;省份背叛;;;;;;;;;;X
cb_defection_desc;他们为从我国叛变的省份提供庇护. ;;;;;;;;;;X
cb_loan_cancelled;拖欠贷款;;;;;;;;;;X
cb_loan_cancelled_desc;他们拒绝归还贷款. ;;;;;;;;;;X
cb_spy_discovered;间谍活动;;;;;;;;;;X
cb_spy_discovered_desc;他们对我国采取了间谍行动! ;;;;;;;;;;X
cb_disloyal_vassal;附庸国背叛;;;;;;;;;;X
cb_disloyal_vassal_desc;他们无耻的撕毁了臣服誓约. ;;;;;;;;;;X
cb_defender_of_the_faith;守护信仰;;;;;;;;;;X
cb_defender_of_the_faith_desc;他们攻击了和我们同一宗教的兄弟国家! ;;;;;;;;;;X
cb_hre_attacked;解放中原领土;;;;;;;;;;X
cb_hre_attacked_desc;他们吞并了一个中原诸侯. ;;;;;;;;;;X
cb_guarantee;保证独立;;;;;;;;;;X
cb_guarantee_desc;他们攻击了一个受我们保证独立的国家. ;;;;;;;;;;X
cb_warning;违反警告;;;;;;;;;;X
cb_warning_desc;他们无视我国的警告. ;;;;;;;;;;X
cb_claim_throne;王位宣称;;;;;;;;;;X
cb_claim_throne_desc;我们有继承该国王位的正当权利. ;;;;;;;;;;X
cb_offensive_call;帮助同盟;;;;;;;;;;X
cb_offensive_call_desc;一个盟国正与他们作战. ;;;;;;;;;;X
cb_vassalize_mission;附庸国家;;;;;;;;;;X
cb_vassalize_mission_desc;我们有附庸特定国家的任务. ;;;;;;;;;;X
cb_religious_conformance;宗教统一;;;;;;;;;;X
cb_religious_conformance_desc;一个中原, 一种信仰! ;;;;;;;;;;X
cb_colonial;移民主义;;;;;;;;;;X
cb_colonial_desc;他们有我国想要的新垦区. ;;;;;;;;;;X
cb_liberation;解放;;;;;;;;;;X
cb_liberation_desc;他们在压迫享有自由权利的人民. ;;;;;;;;;;X
cb_crusade;十字军战争;;;;;;;;;;X
cb_crusade_desc;他们是该诅咒的异教徒! ;;;;;;;;;;X
cb_heretic;清除异端;;;;;;;;;;X
cb_heretic_desc;烧死异端分子! ;;;;;;;;;;X
cb_border_war;边境摩擦;;;;;;;;;;X
cb_border_war_desc;两国在边境问题上持有争端. ;;;;;;;;;;X
cb_excommunication;被开除教籍;;;;;;;;;;X
cb_excommunication_desc;他们的统治者被开除教籍了. ;;;;;;;;;;X
cb_trade_war;贸易竞争;;;;;;;;;;X
cb_trade_war_desc;他们对我们的贸易产生了威胁! ;;;;;;;;;;X
cb_sphere_of_influence;侵犯势力范围;;;;;;;;;;X
cb_sphere_of_influence_desc;他们干涉我国势力范围内国家的内政. ;;;;;;;;;;X
cb_primitives;移民扩张;;;;;;;;;;X
cb_primitives_desc;他们是好战的原始部落. ;;;;;;;;;;X
GAIN_CB;得到对 $WHO$ 的宣战理由: $TYPE$. ;;;;;;;;;;X
LOSE_CB;失去对 $WHO$ 的宣战理由: $TYPE$. ;;;;;;;;;;X
REV_GAIN_CB;$ACTIVE$ 得到对 $PASSIVE$ 的宣战理由: $TYPE$. ;;;;;;;;;;X
WAR_JUST;他们以 $CB$ 作为宣战理由! ;;;;;;;;;;X
WAR_INJUST;他们没有合法的宣战理由! ;;;;;;;;;;X
CB_DESC_HEAD;$BADBOY$的恶名, $PRESTIGE$的威望和$COST$的胜利点价值:;;;;;;;;;;X
CB_ALLOWED_PROVS;征服:;;;;;;;;;;X
CB_ALLOWED_ANNEX;完全吞并:;;;;;;;;;;X
CB_ALLOWED_REVOKE;撕毁条约:;;;;;;;;;;X
CB_ALLOWED_RELEASE_VASSALS;解放附庸:;;;;;;;;;;X
CB_ALLOWED_RELEASE_ANNEXED;解放国家:;;;;;;;;;;X
CB_ALLOWED_CONVERSION;强迫改变信仰:;;;;;;;;;;X
CB_ALLOWED_UNION;建立联合统治:;;;;;;;;;;X
CB_ALLOWED_GOLD;索取赔款:;;;;;;;;;;X
CB_ALLOWED_VASSALAGE;强迫附庸:;;;;;;;;;;X
CB_ALLOWED_CONCESSION;迫使承认失败:;;;;;;;;;;X
CB_ALLOWED_REDUCTION;迫使减小势力范围:;;;;;;;;;;X
HASCBON;有'$CASUS$'的宣战理由: $LIST$. ;;;;;;;;;;X
DECLWAR_SETUP;当一个国家对你宣战;;;;;;;;;;X
DECLWAR_HEADER;$WAR$;;;;;;;;;;X
DECLWAR_1;战争! ;;;;;;;;;;X
DECLWAR_2;$MONARCHTITLE$, $BADWORD$;;;;;;;;;;X
DECLWAR_3;$AGRESSOR$向我们宣战! ;;;;;;;;;;X
DECLWAR_4;准备战斗...;;;;;;;;;;X
DECLWAR_5;*;;;;;;;;;;X
DECLWAR_6;$CASUS$;;;;;;;;;;X
DECLWAR_LOG;$AGRESSOR$向我们发动$WAR$! ;;;;;;;;;;X
DECLWAR_BTN1;好的;;;;;;;;;;X
DECLWAR_BTN2;好的;;;;;;;;;;X
DECLWAR_BTN3;转到;;;;;;;;;;X
DECLWAR_MAP;战争! ;;;;;;;;;;X
DECLWAROTHER_SETUP;当一个国家对另一个国家宣战;;;;;;;;;;X
DECLWAROTHER_HEADER;使者来自;;;;;;;;;;X
DECLWAROTHER_1;$AGRESSOR$;;;;;;;;;;X
DECLWAROTHER_2;$MONARCHTITLE$, $AGRESSOR$;;;;;;;;;;X
DECLWAROTHER_3;对他们的新敌人;;;;;;;;;;X
DECLWAROTHER_4;*;;;;;;;;;;X
DECLWAROTHER_5;$DEFENDER$宣战;;;;;;;;;;X
DECLWAROTHER_6;$CASUS$;;;;;;;;;;X
DECLWAROTHER_LOG;$AGRESSOR$对$DEFENDER$发动$WAR$. ;;;;;;;;;;X
DECLWAROTHER_BTN1;好的;;;;;;;;;;X
DECLWAROTHER_BTN2;好的;;;;;;;;;;X
DECLWAROTHER_BTN3;转到;;;;;;;;;;X
DECLWAROTHER_MAP;战争!;;;;;;;;;;X
WEDECLWAR_SETUP;当我国对另一个国家宣战;;;;;;;;;;X
WEDECLWAR_HEADER;$WAR$;;;;;;;;;;X
WEDECLWAR_1;我们对;;;;;;;;;;X
WEDECLWAR_2;$DEFENDER$宣战了! ;;;;;;;;;;X
WEDECLWAR_3;*;;;;;;;;;;X
WEDECLWAR_4;*;;;;;;;;;;X
WEDECLWAR_5;*;;;;;;;;;;X
WEDECLWAR_6;*;;;;;;;;;;X
WEDECLWAR_LOG;我国对$DEFENDER$发动$WAR$. ;;;;;;;;;;X
WEDECLWAR_BTN1;好的;;;;;;;;;;X
WEDECLWAR_BTN2;好的;;;;;;;;;;X
WEDECLWAR_BTN3;转到;;;;;;;;;;X
WEDECLWAR_MAP;战争! ;;;;;;;;;;X
PEACE_CONCEDE_DEFEAT;承认失败;;;;;;;;;;X
alert_casus_belli_will_expire_instant;开战理由即将过期:;;;;;;;;;;X
alert_casus_belli_will_expire_delayed;$LIST$. ;;;;;;;;;;X
MAPMODE_SPHERE;势力范围地图;;;;;;;;;;X
SPHERETITLE;扩张势力范围;;;;;;;;;;X
SPHERENEWDESC;你确定要将 $COUNTRY$ 纳入我们的势力范围? \n这将花费$PRESTIGE$威望, 但会使我们有理由对\n干涉该国内政的国家宣战. ;;;;;;;;;;X
SPHEREDESC;将该国纳入势力范围后, 我们将有\n理由对涉该国内政的国家宣战. ;;;;;;;;;;X
HASSPHERE;他们已经是$COUNTRYADJ$的势力范围了. ;;;;;;;;;;X
SPHERE_OF_INFLUENCE;势力范围: $LIST$;;;;;;;;;;X
IS_IN_SPHERE;在$TAG$的势力范围内;;;;;;;;;;X
CW_WARNINSPHERE;他们在 $COUNTRY$ 的势力范围内. \n我们的进攻将给他们一个宣战理由. ;;;;;;;;;;X
CW_WARNINSPHERE2;$ENEMY$在 $COUNTRY$ 的势力范围内. \n我们的进攻将给他们一个宣战理由. ;;;;;;;;;;X
SPHERETOUS_SETUP;当别国将我国纳入势力范围;;;;;;;;;;X
SPHERETOUS_HEADER;使者来自;;;;;;;;;;X
SPHERETOUS_1;$ACTOR$;;;;;;;;;;X
SPHERETOUS_2;$MONARCHTITLE$, 我们作为一个小国, 被纳入了;;;;;;;;;;X
SPHERETOUS_3;*;;;;;;;;;;X
SPHERETOUS_4;*;;;;;;;;;;X
SPHERETOUS_5;$ACTOR$;;;;;;;;;;X
SPHERETOUS_6;的势力范围. 他们会遭报应的...;;;;;;;;;;X
SPHERETOUS_LOG;我们被纳入$ACTORADJ$的势力范围. ;;;;;;;;;;X
SPHERETOUS_BTN1;好的;;;;;;;;;;X
SPHERETOUS_BTN2;好的;;;;;;;;;;X
SPHERETOUS_BTN3;转到;;;;;;;;;;X
SPHERETOUS_MAP;*;;;;;;;;;;X
SPHERETOOTHER_SETUP;当别国将另一国纳入势力范围;;;;;;;;;;X
SPHERETOOTHER_HEADER;使者来自;;;;;;;;;;X
SPHERETOOTHER_1;$ACTOR$;;;;;;;;;;X
SPHERETOOTHER_2;$MONARCHTITLE$, ;;;;;;;;;;X
SPHERETOOTHER_3;$RECIPIENT$;;;;;;;;;;X
SPHERETOOTHER_4;被纳入;;;;;;;;;;X
SPHERETOOTHER_5;$ACTORADJ$;;;;;;;;;;X
SPHERETOOTHER_6;的势力范围;;;;;;;;;;X
SPHERETOOTHER_LOG;$RECIPIENT$被纳入$ACTORADJ$的势力范围. ;;;;;;;;;;X
SPHERETOOTHER_BTN1;好的;;;;;;;;;;X
SPHERETOOTHER_BTN2;好的;;;;;;;;;;X
SPHERETOOTHER_BTN3;转到;;;;;;;;;;X
SPHERETOOTHER_MAP;*;;;;;;;;;;X
WESPHERE_SETUP;当我国将别国纳入势力范围;;;;;;;;;;X
WESPHERE_HEADER;$MESSENGER$;;;;;;;;;;X
WESPHERE_1;我国影响力扩张;;;;;;;;;;X
WESPHERE_2;$MONARCHTITLE$, ;;;;;;;;;;X
WESPHERE_3;$RECIPIENT$;;;;;;;;;;X
WESPHERE_4;现在已被纳入我国的;;;;;;;;;;X
WESPHERE_5;势力范围;;;;;;;;;;X
WESPHERE_6;*;;;;;;;;;;X
WESPHERE_LOG;$RECIPIENT$现在已被纳入我国的势力范围. ;;;;;;;;;;X
WESPHERE_BTN1;好的;;;;;;;;;;X
WESPHERE_BTN2;好的;;;;;;;;;;X
WESPHERE_BTN3;转到;;;;;;;;;;X
WESPHERE_MAP;*;;;;;;;;;;X
LACK_PRESTIGE;我们需要$PRESTIGE$威望来扩张势力范围. ;;;;;;;;;;X
NOT_POWERFUL_ENOUGH;与他们相比, 我们还不够强. ;;;;;;;;;;X
NOT_MIL_POWERFUL_ENOUGH;我们在军队上稍逊一筹. ;;;;;;;;;;X
NOT_ECO_POWERFUL_ENOUGH;我们在经济上稍逊一筹. ;;;;;;;;;;X
NOT_GEO_POWERFUL_ENOUGH;我们在省份数量上稍逊一筹. ;;;;;;;;;;X
THEY_HAVE_SPHERE;他们有自己的势力范围. ;;;;;;;;;;X
DIPRELCH_BADBOY;恶名;;;;;;;;;;X
HAVE_LESS_BADBOY_THAN;恶名低于 ;;;;;;;;;;X
HAVE_MORE_BADBOY_THAN;恶名高于 ;;;;;;;;;;X
BADBOY_EFFECT;$DIRECTION$ $VALUE$ 恶名. \n;;;;;;;;;;X
BADBOY_DRO_1;每年恶名变化情况:\n;;;;;;;;;;X
BADBOY_DRO_2;恶名上限修正:\n;;;;;;;;;;X
BADBOY;恶名;;;;;;;;;;X
BADBOY_LIMIT;恶名上限;;;;;;;;;;X
badboy;恶名;;;;;;;;;;X
HAS_NOT_TEMP_CLAIM_ON; 没有临时的核心宣称: ;;;;;;;;;;X
HAS_TEMP_CLAIM_ON; 有临时的核心宣称: ;;;;;;;;;;X
ADD_TEMP_CLAIM_EFFECT;得到对 $PROV$ 的临时核心宣称. \n;;;;;;;;;;X
REM_TEMP_CLAIM_EFFECT;失去对 $PROV$ 的临时核心宣称. \n;;;;;;;;;;X
IS_NOT_IN_SPHERE;不在$COUNTRY_ADJ$的势力范围内;;;;;;;;;;X
IS_IN_SPHERE_OF;在 $COUNTRY_ADJ$ 的势力范围内;;;;;;;;;;X
WEGAINCB_SETUP;当我们得到宣战理由;;;;;;;;;;X
WEGAINCB_HEADER;$MONARCHTITLE$;;;;;;;;;;X
WEGAINCB_1;宣战理由;;;;;;;;;;X
WEGAINCB_2;我们得到了;;;;;;;;;;X
WEGAINCB_3;$CASUS$的战争理由;;;;;;;;;;X
WEGAINCB_4;*;;;;;;;;;;X
WEGAINCB_5;针对$ENEMY$;;;;;;;;;;X
WEGAINCB_6;$DESC$;;;;;;;;;;X
WEGAINCB_LOG;我们得到针对$ENEMY$的'$CASUS$'的宣战理由. ;;;;;;;;;;X
WEGAINCB_BTN1;好的;;;;;;;;;;X
WEGAINCB_BTN2;好的;;;;;;;;;;X
WEGAINCB_BTN3;转到;;;;;;;;;;X
WEGAINCB_MAP;*;;;;;;;;;;X
WELOSECB_SETUP;当我们失去宣战理由;;;;;;;;;;X
WELOSECB_HEADER;$MONARCHTITLE$;;;;;;;;;;X
WELOSECB_1;宣战理由;;;;;;;;;;X
WELOSECB_2;很遗憾, 我们失去了;;;;;;;;;;X
WELOSECB_3;$CASUS$的宣战理由;;;;;;;;;;X
WELOSECB_4;*;;;;;;;;;;X
WELOSECB_5;针对$ENEMY$;;;;;;;;;;X
WELOSECB_6;*;;;;;;;;;;X
WELOSECB_LOG;我们失去了针对$ENEMY$的$CASUS$的宣战理由. ;;;;;;;;;;X
WELOSECB_BTN1;好的;;;;;;;;;;X
WELOSECB_BTN2;好的;;;;;;;;;;X
WELOSECB_BTN3;转到;;;;;;;;;;X
WELOSECB_MAP;*;;;;;;;;;;X
PEACE_SPHERE;缩小势力范围;;;;;;;;;;X
SPHERE_GIVEUP;$WHO$不再将$WHAT$视为势力范围. ;;;;;;;;;;X
NOT_IN_SPHERE_RANGE;该国离我们太远了. \n最大距离随着威望提高而增加\n(请查看势力范围地图. );;;;;;;;;;X
WELEAVESPHERE_SETUP;当我们离开别国势力范围;;;;;;;;;;X
WELEAVESPHERE_HEADER;$MONARCHTITLE$;;;;;;;;;;X
WELEAVESPHERE_1;*;;;;;;;;;;X
WELEAVESPHERE_2;我们不再处于;;;;;;;;;;X
WELEAVESPHERE_3;*;;;;;;;;;;X
WELEAVESPHERE_4;*;;;;;;;;;;X
WELEAVESPHERE_5;$ACTOR$;;;;;;;;;;X
WELEAVESPHERE_6;的势力范围内;;;;;;;;;;X
WELEAVESPHERE_LOG;我国离开$ACTORADJ$的势力范围. ;;;;;;;;;;X
WELEAVESPHERE_BTN1;好的;;;;;;;;;;X
WELEAVESPHERE_BTN2;好的;;;;;;;;;;X
WELEAVESPHERE_BTN3;转到;;;;;;;;;;X
WELEAVESPHERE_MAP;*;;;;;;;;;;X
LEAVESOURSPHERE_SETUP;当别国离开我国势力范围;;;;;;;;;;X
LEAVESOURSPHERE_HEADER;使者来自;;;;;;;;;;X
LEAVESOURSPHERE_1;$ACTOR$;;;;;;;;;;X
LEAVESOURSPHERE_2;该国不再处于;;;;;;;;;;X
LEAVESOURSPHERE_3;我国的势力范围内;;;;;;;;;;X
LEAVESOURSPHERE_4;他们现在已经比我们更强大了. ;;;;;;;;;;X
LEAVESOURSPHERE_5;*;;;;;;;;;;X
LEAVESOURSPHERE_6;*;;;;;;;;;;X
LEAVESOURSPHERE_LOG;$ACTOR$离开我国势力范围. ;;;;;;;;;;X
LEAVESOURSPHERE_BTN1;好的;;;;;;;;;;X
LEAVESOURSPHERE_BTN2;好的;;;;;;;;;;X
LEAVESOURSPHERE_BTN3;转到;;;;;;;;;;X
LEAVESOURSPHERE_MAP;*;;;;;;;;;;X
IS_NOT_WASTELAND; 不是一片焦土;;;;;;;;;;X
IS_WASTELAND; 是一片焦土;;;;;;;;;;X
IS_NOT_CRUSADE_TARGET;不是十字军目标;;;;;;;;;;X
IS_CRUSADE_TARGET;是十字军目标;;;;;;;;;;X
CV_RULEDBY;$NAME$ $SURNAME$;;;;;;;;;;X
DIPRELCH_SAMEDYNASTY;同一王朝;;;;;;;;;;X
DIPRELCH_BANNED;被中原放逐;;;;;;;;;;X
OFFICIAL_IRO;我们现在有$CURRENT$位吏员待遣 \n(每年获得$YEARLY$位);;;;;;;;;;X
PROVMODEXP_SETUP;一个省份状况发生变化;;;;;;;;;;X
PROVMODEXP_HEADER;省份临时状况结束;;;;;;;;;;X
PROVMODEXP_1;$MOD$;;;;;;;;;;X
PROVMODEXP_2;已经在;;;;;;;;;;X
PROVMODEXP_3;$PROV$结束;;;;;;;;;;X
PROVMODEXP_4;$DESC$;;;;;;;;;;X
PROVMODEXP_5;*;;;;;;;;;;X
PROVMODEXP_6;*;;;;;;;;;;X
PROVMODEXP_LOG;$MOD$ 在 $PROV$ 结束了. ;;;;;;;;;;X
PROVMODEXP_BTN1;知道了;;;;;;;;;;X
PROVMODEXP_BTN2;知道了;;;;;;;;;;X
PROVMODEXP_BTN3;前往;;;;;;;;;;X
PROVMODEXP_MAP;*;;;;;;;;;;X
COUNTRYMODEXP_SETUP;一个国家状况发生变化;;;;;;;;;;X
COUNTRYMODEXP_HEADER;国家临时状况结束;;;;;;;;;;X
COUNTRYMODEXP_1;$MOD$;;;;;;;;;;X
COUNTRYMODEXP_2;已经在;;;;;;;;;;X
COUNTRYMODEXP_3; $COUNTRY$ 结束;;;;;;;;;;X
COUNTRYMODEXP_4;$DESC$;;;;;;;;;;X
COUNTRYMODEXP_5;*;;;;;;;;;;X
COUNTRYMODEXP_6;*;;;;;;;;;;X
COUNTRYMODEXP_LOG;$MOD$ 在 $COUNTRY$ 结束了. ;;;;;;;;;;X
COUNTRYMODEXP_BTN1;知道了;;;;;;;;;;X
COUNTRYMODEXP_BTN2;知道了;;;;;;;;;;X
COUNTRYMODEXP_BTN3;前往;;;;;;;;;;X
COUNTRYMODEXP_MAP;*;;;;;;;;;;X
BREAKMARCURIANEWDESC;一般来说, 破坏联姻会引起贵族不满. 但是, 作为天子控制者, 我们可以请圣座认可. ;;;;;;;;;;X
BREAKRMCURIADESCR;是否确认要切断与 $COUNTRY$ 王室的联系? \n这会损害我们之间的关系, 不过作为天子控制者, \n这并不会引起国内不稳. ;;;;;;;;;;X
EXCOMONUS_SETUP;我们的统治者遭到绝罚;;;;;;;;;;X
EXCOMONUS_HEADER;来自;;;;;;;;;;X
EXCOMONUS_1;$ACTOR$的使者;;;;;;;;;;X
EXCOMONUS_2;$MONARCHTITLE$, $ACTOR$ 蛊惑圣座, 使你遭受;;;;;;;;;;X
EXCOMONUS_3;绝罚! ;;;;;;;;;;X
EXCOMONUS_4;*;;;;;;;;;;X
EXCOMONUS_5;*;;;;;;;;;;X
EXCOMONUS_6;中原国家对我国宣战时可免于国内不稳. ;;;;;;;;;;X
EXCOMONUS_LOG;圣座在 $ACTOR$ 的蛊惑下将我主逐出教会了! ;;;;;;;;;;X
EXCOMONUS_BTN1;冤枉;;;;;;;;;;X
EXCOMONUS_BTN2;冤枉;;;;;;;;;;X
EXCOMONUS_BTN3;前往;;;;;;;;;;X
EXCOMONUS_MAP;*;;;;;;;;;;X
EXCOMONOTHER_SETUP;天子控制者令一位国主被逐出教会;;;;;;;;;;X
EXCOMONOTHER_HEADER;来自;;;;;;;;;;X
EXCOMONOTHER_1;$ACTOR$的使者;;;;;;;;;;X
EXCOMONOTHER_2;$MONARCHTITLE$, ;;;;;;;;;;X
EXCOMONOTHER_3;圣座在 $ACTOR$ 的建议下;;;;;;;;;;X
EXCOMONOTHER_4;施行绝罚;;;;;;;;;;X
EXCOMONOTHER_5;惩戒 $RECIPIENT$ 的不义. ;;;;;;;;;;X
EXCOMONOTHER_6;*;;;;;;;;;;X
EXCOMONOTHER_LOG;圣座在 $ACTOR$ 的建议下将 $RECIPIENT$ 的统治者逐出教会. ;;;;;;;;;;X
EXCOMONOTHER_BTN1;活该;;;;;;;;;;X
EXCOMONOTHER_BTN2;活该;;;;;;;;;;X
EXCOMONOTHER_BTN3;前往;;;;;;;;;;X
EXCOMONOTHER_MAP;*;;;;;;;;;;X
PAPAL_INFLUENCE;教廷影响力;;;;;;;;;;X
YEARLY_PAPAL_INFLUENCE;每年可获得的教廷影响力;;;;;;;;;;X
PAPAL_INFLUENCE_DESC;教廷影响力反映了我们对宗座的影响力. 我们的影响力越大, 我国教士担任枢机主教的机会便越大. ;;;;;;;;;;X
YEARLY_CHANGE;每年的变化;;;;;;;;;;X
PAPAL_RELATIONS;教廷关系;;;;;;;;;;X
NEWPOPE_SETUP;一位新教宗已选出;;;;;;;;;;X
NEWPOPE_HEADER;新的教宗已登临;;;;;;;;;;X
NEWPOPE_1;圣伯多禄遗产之上;;;;;;;;;;X
NEWPOPE_2;秘密会议选出;;;;;;;;;;X
NEWPOPE_3;$POPE$;;;;;;;;;;X
NEWPOPE_4;作为新教宗. 各国教廷影响力将重新累积. ;;;;;;;;;;X
NEWPOPE_5;*;;;;;;;;;;X
NEWPOPE_6;*;;;;;;;;;;X
NEWPOPE_LOG;秘密会议选出 $POPE$ 作为新教宗. ;;;;;;;;;;X
NEWPOPE_BTN1;知道了;;;;;;;;;;X
NEWPOPE_BTN2;知道了;;;;;;;;;;X
NEWPOPE_BTN3;前往;;;;;;;;;;X
NEWPOPE_MAP;*;;;;;;;;;;X
OLD_CARDINAL_EXPL;他一度受到$OLD$恶魔的诱惑. ;;;;;;;;;;X
