JIUYANCUNWEI_DESC;经过二十年苦心经营，齐桓公成功称霸，号令中原。但戎狄不断南下，河北的许多诸侯国都遭到了戎狄的侵略和破坏，同时南方的楚国则不断北上发展，这一切都对齐国的霸业形成了巨大的威胁。齐桓公站在河水之滨，举目北眺，他决心开始行动，首先出兵北上，救援岌岌可危的燕国，然后从戎狄手中救出卫国等北方小国，巩固齐国霸业在北方的成果。;;;;;;;;;;X
ZHAOLINGHUIMENG_NAME;656BC 召陵会盟;;;;;;;;;;X
ZHAOLINGHUIMENG_DESC;在解决了北方的戎狄之后，齐桓公纠集诸侯，打算挥师南下压制崛起中的楚国，彻底解决他霸业之路上的最后一块绊脚石。起初联军军势浩大，引兵会战之后，却最终以双方罢兵讲和告终，看似强大的齐国却无法彻底击垮楚国，这意味着齐国霸业的衰落和楚国的崛起已无法阻止，仰天长叹的齐桓公只能接受这个事实。与此同时，晋献公开始了他假途伐虢的计划，这是晋国扩张的重要一步。晋国也要参与霸业赌局中来了。;;;;;;;;;;X
QINJINZHIHAO_NAME;645BC 秦晋之好;;;;;;;;;;X
QINJINZHIHAO_DESC;秦晋两国向为姻亲联盟，但晋惠公的背叛行为激怒了秦人，最终导致双方爆发秦晋韩原大战，这也标志着秦晋之好就此终止。就在这时，楚国重整势头，再度挥师北上，其在中原的势力不断扩张，而齐桓公无力已经再也去压制楚国。日暮西山的齐国垂垂老矣，朝气蓬勃的晋国和咄咄逼人的楚国开始逐渐蚕食齐国的霸业成果，新一轮赌局即将开盘。;;;;;;;;;;X
HONGSHUIZHIZHAN_NAME;638BC 泓水之战;;;;;;;;;;X
HONGSHUIZHIZHAN_DESC;齐桓公历经多年成就的霸业终于彻底败落，失去强大齐国庇护的中原诸侯开始寻求另外的途径来对抗强悍的楚国。就在此时，宋襄公意图以仁义之师来接过霸业，取代中道衰落的霸主齐国，但这一行动使得宋国与南方强大的楚国形成了巨大的冲突，于是楚军列阵泓水于宋军对峙，最终究竟鹿死谁手？;;;;;;;;;;X
CHENGPUZHIZHAN_NAME;632BC 城濮之战;;;;;;;;;;X
CHENGPUZHIZHAN_DESC;晋文公重耳经历二十年流浪回到晋国。面对越来越强大的楚国，晋文公决定南下争霸，以捍卫中原礼乐诸侯国为理由讨伐“荆蛮”楚国。两强相争，一个是实力强悍的新兴晋国，一个是横扫中原楚国，自己春秋时代晋楚两国对抗的百年格局正式拉开了帷幕。新的霸主将在这两国间诞生。;;;;;;;;;;X
CHENGBAXIRONG_NAME;627BC 称霸西戎;;;;;;;;;;X
CHENGBAXIRONG_DESC;大漠荒草连陇西，黄土隔壁并关西，百年戎狄屡犯边，今朝我王破之还！秦穆公唯才是举，任用由余百里奚等，攻戎王，灭国十二，遂霸西戎，由此秦国正式成为春秋强国之一，且从此不再担忧西部边陲的戎族的军事威胁。意图称霸的秦穆公执意东扩，导致秦晋交锋，秦军在殽之战遭遇重大失败。从此秦国受制于晋国，终春秋之世，秦国不能东进。;;;;;;;;;;X
ZHAODUNSHIJUN_NAME;607BC 赵盾弑君;;;;;;;;;;X
ZHAODUNSHIJUN_DESC;赵衰之子赵盾作为卿大夫，长期把持晋国朝政，主持晋国军政大事，长期和楚庄王对抗，捍卫晋国霸主地位。但这引起了疑心很重的晋灵公的巨大不满。经过征伐齐国事件和数次晋灵公暗杀赵盾未遂后，君臣矛盾最终爆发，欲做忠臣不能的赵盾决心改作权臣，其弟赵穿杀死晋灵公，迎立公子黑臀于周。从此晋国开启了权臣治国的时代。;;;;;;;;;;X
BIZHIZHAN_NAME;597BC 邲之战;;;;;;;;;;X
BIZHIZHAN_DESC;经过多年的内部政治安定，军事实力的逐步增强，现在积蓄了足够力量的楚庄王终于实现当初的诺言，一鸣惊人，北上争霸，在邲之战打败楚之宿敌晋，实现了数百年来楚人问鼎中原的愿望。这标志着楚庄王的霸业开启，以及礼乐霸道和“荆蛮”的崛起！;;;;;;;;;;X
ANZHIZHAN_NAME;589BC 鞍之战;;;;;;;;;;X
ANZHIZHAN_DESC;自从楚庄王问鼎中原，中原局势发生了巨大变化。当初诞生第一位霸主的齐国已然沦为如今霸主楚国的“仆从”国，而在长达两年的边境冲突后，齐国和亲善晋国的鲁国之间终于爆发了全面战争。出乎众人预料的是，楚王背弃了盟约，并没有出兵协助齐国。这种背信弃义的行为最终导致齐国败于晋鲁卫联军，并被迫与晋国结盟，和楚国断交。;;;;;;;;;;X
YANLINGZHIZHAN_NAME;575BC 鄢陵之战;;;;;;;;;;X
YANLINGZHIZHAN_DESC;数轮交锋之后，宿敌晋国、楚国为了郑国而再度兵戎相见，两国会战于鄢陵，这标志着宋国华元的弭兵之失败。合战的结果是楚国完败，因此“霸主”楚国不再有力力量北进华夏，霸道的问鼎中原之路暂时被中止了。另一方面，晋国虽然重夺霸权，但自赵盾始，其内部已经出现了严重的公卿专政，中枢权力轮流坐庄的晋国，其霸业也终将是明日黄花而已。;;;;;;;;;;X
DAOGONGFUBA_NAME;564BC 悼公复霸;;;;;;;;;;X
DAOGONGFUBA_DESC;晋厉公死后，悼公即位，他采取了和戎制秦、联吴抗楚、保宋固疆、伐郑树威的四大策略，终于恢复晋国失去多年的霸权，并且压制了楚国的北上势头，将秦国势力遏制在关中一隅。可是，此时晋国内部公卿斗争逐步加剧，因此，晋悼公便成为了晋国国运的转折点。在悼公之后，晋国将直转急下。;;;;;;;;;;X
MIBINGHUIMENG_NAME;546BC 弭兵会盟;;;;;;;;;;X
MIBINGHUIMENG_DESC;终春秋之世，地处中原南部的宋国一直处于晋楚争霸的前沿，多次遭到双方的围攻，因此宋国的向戍继前辈华元之后再次号召弭兵。虽然华元的弭兵失败了，但由于常年的拉锯消磨殆尽了晋楚两国的国力，双方此时都无力继续争霸，因此向戍的弭兵获得巨大成功，此后，各诸侯国都进入了政治改革与内部斗争的新时期。;;;;;;;;;;X
WUYUANBENWU_NAME;522BC 伍员奔吴;;;;;;;;;;X
WUYUANBENWU_DESC;昏庸的楚平王听信了费无极的谗言，预诛杀太子建。得到消息的太子建奔宋，于是平王迁怒其傅，杀太子傅伍奢及其子尚，不过伍奢少子伍员得以逃脱，其怀恨在心，以复仇者的决意奔向了东方的吴国。;;;;;;;;;;X
BAIJUZHIZHAN_NAME;506BC 柏举之战;;;;;;;;;;X
BAIJUZHIZHAN_DESC;内有伍员治理国家，外有孙武治军练兵，吴王阖闾锻造了一把无比锋利的“吴钩”，一举刺向了楚国的心脏--楚郢都，柏举之战吴国打败楚国，其攻破楚郢都。楚国从此元气大伤，其半壁江山落入吴人手中。吴国西破强楚，入郢；北威齐、晋，显名诸侯，孙子与有力焉！自此吴国成为春秋一霸。;;;;;;;;;;X
WOXINCHANGDAN_NAME;482BC 卧薪尝胆;;;;;;;;;;X
WOXINCHANGDAN_DESC;自从吴王阖闾死于对越国的战争之后，越国历经允常、勾践两代，常年和吴国作战，但吴国实在是太强大了，越国最终还是败于吴国。妄自尊大的夫差养虎为患，存留了越国，而且放走了勾践。当吴国的军力消耗于频繁的中原争霸战争中时，忍受着亡国之痛的勾践卧薪尝胆，逐渐积蓄着自己的力量，他只是在等待一个复仇的机会。;;;;;;;;;;X
YUEWANGGOUJIAN_NAME;473BC 越王勾践;;;;;;;;;;X
YUEWANGGOUJIAN_DESC;越灭吴，勾践入姑苏，三千越甲终于还是破灭了不败的吴钩神话，夫差自杀，吴国的霸业和夫差的霸王梦都随江水东流……勾践成为了春秋时代的最后一位霸主，一统吴越之地的他似乎终结这个礼乐衰败的春秋时代，而将开启一个彻彻底底礼崩乐坏的战国乱世。;;;;;;;;;;X
ZHIBOZHISI_NAME;453BC 智伯之死;;;;;;;;;;X
ZHIBOZHISI_DESC;数年公卿内斗之后，晋国六卿只剩下智韩赵魏四家。实力最为强大的智伯瑶决意通过武力消灭不服从自己的赵家，其帅屈从于自家的韩、魏之师，围攻晋阳，不料三年不能克。看出联军内部不和的赵无恤密约魏驹、韩虎反攻智伯，于是韩赵魏三家联手水淹智伯，三分其地，从此晋国只剩三卿。;;;;;;;;;;X
SANJIAFENJIN_NAME;403BC 三家分晋;;;;;;;;;;X
SANJIAFENJIN_DESC;周天子正式任命赵魏韩三家为诸侯，这标志着三家正式分晋，驰骋中原数百年的昔日霸主晋国终于亡于公卿之手。从此天下正式进入纷乱的战国，天下格局亦发生了重大变化。晋国三分之后的三家走向了不同的道路，三晋中第一个崛起的是魏国，其在魏文侯的治理下成为了战国初年天下最强的国家。;;;;;;;;;;X
QUNXIONGZHULU_NAME;联机剧本 群雄逐鹿;;;;;;;;;;X
QUNXIONGZHULU_DESC;吴王阖闾攻破楚国后被越王勾践所败，丧失了江南领土，与此同时，北方三家分晋。晋楚双雄衰败，中原各国纷纷崛起，完全不同的战国格局形成了。平行时空的历史线，平衡的国家力量，不同时期的历史英雄俊杰荟萃于同一历史舞台。;;;;;;;;;;X
TIANXIAZHULU_NAME;联机剧本 天下逐鹿;;;;;;;;;;X
TIANXIAZHULU_DESC;想不出来怎么介绍，让小叶子姐姐填坑吧;;;;;;;;;;X
TIANSHIDAIQI_NAME;379BC 田氏代齐;;;;;;;;;;X
TIANSHIDAIQI_DESC;齐康公卒，却未留下子嗣，这意味着姜太公望一脉绝嗣，于是卿大夫田氏一举取代姜氏，成为齐国国君，从此齐国改朝换代，田齐的时代来临了。而在此事之前不久，魏人吴起在楚国施行数年的变法由于楚王崩而宣告失败，绝代智将吴起亦被对其充满仇恨的贵族作乱者诛杀，楚国中兴复霸的最后一线生机被扼杀于萌芽之中。;;;;;;;;;;X
WEIWEIJIUZHAO_NAME;354BC 围魏救赵;;;;;;;;;;X
WEIWEIJIUZHAO_DESC;经过多年的战争兼并，魏国成为了天下第一强国，以精锐的魏武卒方阵和雄厚的经济实力威慑诸侯，而在田氏的宽容治国和铁腕治贪下，齐国实现了复兴，于是，强盛的魏国和复兴的齐国发生了激烈的冲突。是时，魏国大举攻赵，兵围邯郸，齐国出兵直捣魏都大梁，迫使魏大将军庞涓回师，却两次在马陵和桂陵遭到齐国田忌于孙膑的伏击，随着庞涓的战死，魏国的军事力量遭到重创，再加上秦国乘虚而入，魏国彻底失去了称霸的实力，而天下进入了齐秦两强制霸的时代。;;;;;;;;;;X
WUGUOFAQIN_NAME;318BC 五国伐秦;;;;;;;;;;X
WUGUOFAQIN_DESC;自从商鞅变法以后，秦国国势蒸蒸日上，后在少梁邑之战中彻底击溃“无敌”魏武卒方阵，收复河西地。随着秦国的扩张，其对诸侯的威胁日增，于是魏王驱逐张仪，改用公孙衍为相，行合纵之策，而后魏、赵、韩、燕、楚五国共推楚怀王为纵长，引联军西进函谷关，欲瓜分秦国。;;;;;;;;;;X
YUEYIFAQI_NAME;285BC 乐毅伐齐;;;;;;;;;;X
YUEYIFAQI_DESC;战国中期，田氏齐国达到极盛，北破燕国而还，时有西帝秦王，东帝齐王之说。但新即位的燕昭王锐意改革，招揽天下贤才，一心欲向齐国报灭国之仇，他派策士苏秦入齐，挑唆齐王攻打富饶的宋国，由于秦魏韩均虎视眈眈宋国之地，故此举成功挑起了各国对齐国的仇视，然后燕昭王重用中山人乐毅，帅燕秦魏韩赵五国联军伐齐，其中乐毅将燕军深入齐国，连破七十余城，一举灭亡了齐国。至此乐毅和燕国的威望达到极点。;;;;;;;;;;X
CHANGPINGZHIZHAN_NAME;260BC 长平之战;;;;;;;;;;X
CHANGPINGZHIZHAN_DESC;赵武灵王胡服骑射之后，赵国逐渐成为仅次于秦国的军事强国。适时，秦击败了韩，举国恐惧的韩国献上党与秦，不料上党郡守私自投靠了赵国，于是秦赵之间为了上党而正式开战。昏聩的赵孝成王听信郭开之谗言罢免了廉颇兵权，派名将赵奢之子赵括指挥赵军对抗秦军，但赵括纸上谈兵，故而长平一战，赵国全部精锐毁于一旦。秦军继续东进，幸赖魏信陵君窃符救赵，解围邯郸，赵国得以保存，但是赵国从此沦为二流国家。;;;;;;;;;;X
YISAOLIUHE_NAME;238BC 一扫六合;;;;;;;;;;X
YISAOLIUHE_DESC;秦始皇即位之年，关东六国已经严重衰落，魏国已仅剩大梁等地，韩国苟延残喘，赵国失去了太行山以西所有土地奄奄一息，楚国半壁江山入秦国之手，东迁至寿春偏安一隅，燕国实力尚可却远远不及强秦，复辟的齐国对曾经灭亡自己的诸侯深恶痛绝，一味地交好秦国。于是天下无一国可以抗衡秦国，是故秦国一扫六合的时代已经到了，新的大一统的天下将属于始皇帝，华夏新时代即将来临，而这场历时数百年的赌局终于停止了。;;;;;;;;;;X
JIEGANERQI_NAME;209BC 揭竿而起;;;;;;;;;;X
JIEGANERQI_DESC;秦二世元年，始皇帝在他煊赫的帝国巡狩途中猝然而逝，留下了不祥预言笼罩之下的帝国给正统性可疑的继承人，二世皇帝·胡亥。同年七月，正在胡亥与其拥立者李斯和赵高正在咸阳大肆清洗政敌之时，在旧楚地，由名叫陈胜、吴广的两人所率领的九百多人的戍卒叛乱，用「王侯将相宁有种乎？」的怒吼，撬动了整个帝国的土崩瓦解……;;;;;;;;;;X
JULUZHIZHAN_NAME;208BC 巨鹿之战;;;;;;;;;;X
JULUZHIZHAN_DESC;陈胜军一度攻入函谷关的起义高潮在秦少府·章邯的反攻下节节败退，吴广陈胜相继横死，义军四分五裂。在吴县起事的旧楚贵族·项梁，北上拥立楚怀王裔孙·心为楚王，仍称楚怀王，重新整合了反秦力量。然而不久，项梁也在定陶战死，章邯调军攻赵。在这反秦诸侯人人惊惧之际，楚怀王命宋义、项羽率军救赵，并约定：「诸将先入关中者王之」。;;;;;;;;;;X
XICHUBAWANG_NAME;206BC 西楚霸王;;;;;;;;;;X
XICHUBAWANG_DESC;项羽在河北歼灭了秦军主力，率领诸侯联军到达关中时已比取道河南的沛公·刘邦迟了一个多月。他虽然未听从谋士范增的计谋在鸿门宴上杀了刘邦，但也不准备遵守楚怀王「先入关中者王之」的盟约。在戏下，他封各反秦旧贵族和诸将为十八个诸侯王，把怀王尊为义帝，迁徙到荆南，并自封为西楚霸王，为诸侯盟主。暴秦亡于孤立，而霸王把天下恢复到春秋战国旧秩序的努力能成功吗？而被分封到偏远巴蜀的汉王·刘邦又将如何行动？;;;;;;;;;;X
PENGCHENGZHIZHAN_NAME;206BC 彭城之战;;;;;;;;;;X
PENGCHENGZHIZHAN_DESC;项羽的世界体系并未维持多久，西面的汉王·刘邦和东面的前齐相·田荣就开启了战端。项羽决定亲自平定肘腋之间的齐王田荣，并暂时绥靖暗度陈仓进占三秦的刘邦。刘邦则抓住这一时机，在平定三秦后，通檄天下讨伐项羽袭杀义帝，一时大半诸侯响应讨伐项王。;;;;;;;;;;X
GAIXIAZHIZHAN_NAME;206BC 垓下之战;;;;;;;;;;X
GAIXIAZHIZHAN_DESC;经过五年的战事，汉王已经取得天下的大部分疆域，汉王复立韩王信都、赵王张耳、梁王彭越，封平定赵、齐的大将韩信为齐王，九江王英布也叛楚附汉。全天下的实力诸侯都是汉王的同盟。胜利的天平已经压倒性地倒向汉王。;;;;;;;;;;X
