;;;;;;;;;;;X
support_revolt_desc;以金钱和武器资助可能发动叛乱的人，无论他是不满的封侯、愤怒的奴隶还是蛮夷部落的领袖，都将成为我们的帮手。;;;;;;;;;;X
foreign_support_for_rebels;他国支持的叛乱;;;;;;;;;;X
desc_foreign_support_for_rebels;据可靠的情报，困扰我国的叛乱者得到了来自他国的金钱支援。;;;;;;;;;;X
incite_troop_desertion;鼓动哗变;;;;;;;;;;X
incite_troop_desertion_desc;说服这座城市的后备军解散，利用哗变事件大大削弱这里的军事防御能力。;;;;;;;;;;X
troop_desertions;哗变;;;;;;;;;;X
desc_troop_desertions;这里发生了哗变，后备部队几乎一哄而散;;;;;;;;;;X
sponsor_patriots;资助复国军;;;;;;;;;;X
sponsor_patriots_desc;这里有一些故国遗民，他们渴望恢复自己的国家，我们可以资助他们吗，是他们拥有足够的军事力量。;;;;;;;;;;X
sponsor_pretender;资助篡位军;;;;;;;;;;X
sponsor_pretender_desc;资助别有用心的贵族篡位，一旦成功，该国国君将成为我国坚定的盟友。;;;;;;;;;;X
gudongdudi_reputation;鼓动独立;;;;;;;;;;X
gudongdudi_reputation_desc;鼓动属于从属地位的附庸国，劝说他们背叛其宗主国，这或许将大大有利于我国的外交形势;;;;;;;;;;X
hezonglianheng_reputation;合纵连横;;;;;;;;;;X
hezonglianheng_reputation_desc;以合纵连横之策略游说于诸侯之间，败坏该国的命运，使其与邻国交恶;;;;;;;;;;X
kill_the_monarch;刺杀君主;;;;;;;;;;X
kill_the_monarch_desc;派出精选的刺客，潜入宫廷，伺机刺杀他们的君主，这会引起该国不安与动荡，这或许将有利于我国的当前形势。;;;;;;;;;;X
kill_heir;刺杀继承人;;;;;;;;;;X
kill_heir_desc;派出精选的继承人，潜入宫廷，伺机刺杀他们的君主，这会引起该国不安与动荡，这或许将有利于我国的当前形势。;;;;;;;;;;X
EVTNAME3301;合纵连横;;;;;;;;;;X
EVTDESC3301;某国间谍正在向我国周边国家散步威胁论，这导致我国的邻居对我们疏远了。;;;;;;;;;;X
EVTOPTA3301;必严惩不贷;;;;;;;;;;X
tech_steal;窃取技术;;;;;;;;;;X
tech_steal_desc;秘密安插人员进入对方的机要部门，学习他们的技术和经验，仿照他国成功的制度和先进的文化。;;;;;;;;;;X
heqin;和亲;;;;;;;;;;X
heqin_desc;50正统为代价对方出一个事件，同意则无条件和平获得0.5国家经济，不同意则稳定减一;;;;;;;;;;X
meirenji;美人计;;;;;;;;;;X
meirenji_desc;对方君主任意属性低于五且没中美人计可用+0.5通胀-20正统-40威望，对此君主永久0.05通胀-2正统-4威望直到去世;;;;;;;;;;X
shaoshanhuilin;烧山毁林;;;;;;;;;;X
shaoshanhuilin_desc;降低本地一税基，持续降低10%人口一年期间不可再烧;;;;;;;;;;X
dajishengchan;打击生产;;;;;;;;;;X
dajishengchan_desc;降低本地贸易额50%十年，可令本地粮食/铜铁不生效;;;;;;;;;;X
sanbowenyi;散播瘟疫;;;;;;;;;;X
sanbowenyi_desc;触发瘟疫事件;;;;;;;;;;X
jieduanliangdao;截断粮道;;;;;;;;;;X
jieduanliangdao_desc;降低1基础补给半年;;;;;;;;;;X
shangbingfamou;上兵伐谋;;;;;;;;;;X
shangbingfamou_desc;消耗5权谋值，清空对方六类官员;;;;;;;;;;X
qicifajiao;其次伐交;;;;;;;;;;X
qicifajiao_desc;消耗10权谋值，使其和任何国家-500关系;;;;;;;;;;X
qicifabing;其次伐兵;;;;;;;;;;X
qicifabing_desc;消耗20权谋值，降低对方1士气10训练;;;;;;;;;;X
qixiagongcheng;其下攻城;;;;;;;;;;X
qixiagongcheng_desc;消耗1权谋值，增加本地和周围围城进度100%;;;;;;;;;;X
