province;red;green;blue;XXX
217;159;82;128;武关
218;31;84;192;武成
219;159;86;255;南郑
220;31;88;0;阴平
221;159;90;64;武都
222;31;92;128;城固
223;159;94;192;西城
224;32;96;255;旬阳
225;160;98;0;庸
226;32;100;64;防诸
227;160;102;128;沔阳
228;32;104;192;郧关
229;160;106;255;子午谷
230;32;108;0;葭萌
231;161;110;64;梓潼
232;33;112;128;成都
233;161;114;192;武阳
234;33;116;255;湔氏
235;161;118;0;郫县
236;33;120;64;临邛
237;161;122;128;严道
238;34;124;192;犍为
239;162;126;255;白水
240;34;128;0;绵竹
241;162;130;64;汶江
242;34;132;128;资中
243;162;134;192;广汉
244;34;136;255;巫
245;163;138;0;朐忍
246;35;140;64;宕渠
247;163;142;128;枳
248;35;144;192;巴
249;163;146;255;阆中
250;35;148;0;安汉
251;163;150;64;江阳
252;36;152;128;涪陵
253;164;154;192;临江
254;36;156;255;浮阳
255;164;158;0;南皮
256;36;32;64;无棣
257;164;34;128;鬲县
258;36;36;192;平原
259;165;38;255;千乘
260;37;40;0;富平
261;165;42;64;祝阿
262;37;44;128;夷仪
263;165;46;192;高唐
264;37;48;255;牟
265;165;50;0;临淄
266;38;52;64;昌国
267;166;54;128;博昌
268;38;56;192;谭
269;166;58;255;历下
270;38;60;0;麦丘
271;166;62;64;平阴
272;38;64;128;临朐
273;167;66;192;薛
274;39;68;255;浿丘
275;167;70;0;博
276;39;72;64;遂
277;167;74;128;剧
278;39;76;192;淳于
279;167;78;255;密
280;40;80;0;缘陵
281;168;82;64;夷维
282;40;84;128;即墨
283;168;86;192;夜邑
284;40;88;255;介根
285;168;90;0;无娄
286;40;92;64;不其
287;169;94;128;夷
288;41;96;192;邹卢
289;169;98;255;黄县
290;41;100;0;腄县
291;169;102;64;成山
292;41;104;128;观阳
293;169;106;192;曲阜
294;42;108;255;琅琊
295;170;110;0;邹
296;42;112;64;滕
297;170;114;128;薛
298;42;116;192;莒
299;170;118;255;费
300;42;120;0;开阳
301;171;122;64;郯
302;43;124;128;陶丘
303;171;126;192;郕
304;43;128;255;平阳
305;171;130;0;鄫
306;43;132;64;盖
307;171;134;128;蒙
308;44;136;192;向
309;172;138;255;任
310;44;140;0;卞
311;172;142;64;范
312;44;144;128;单父
313;172;146;192;成阳
314;44;148;255;缗
315;173;150;0;无盐
316;45;152;64;纪鄣
317;173;154;128;阳
318;45;156;192;武城
319;173;158;255;逼阳
320;45;32;0;郓
321;173;34;64;郜
322;46;36;128;茅
323;174;38;192;楚丘
324;46;40;255;商丘
325;174;42;0;外黄
326;46;44;64;焦
327;174;46;128;萧
328;46;48;192;彭城
329;175;50;255;下邳
330;47;52;0;徐
331;175;54;64;钟吾
332;47;56;128;相
333;175;58;192;赣榆
334;47;60;255;朐县
335;175;62;0;砀
336;48;244;64;淩县
337;176;66;128;海西
338;48;68;192;符离
339;176;70;255;下相
340;48;72;0;蕲
341;176;74;64;下蔡
342;48;76;128;沛县
343;177;78;192;曲阳
344;49;80;255;城父
345;177;82;0;雍丘
346;49;84;64;宁陵
347;177;86;128;户牖
348;49;88;192;上阳
349;177;90;255;函谷关
350;50;92;0;渑池
351;178;94;64;成周
352;50;96;128;费
353;178;98;192;巩
354;50;100;255;祭
355;178;102;0;管
356;50;104;64;新郑
357;179;106;128;新城
358;51;108;192;大梁
359;179;110;255;濮阳
360;51;112;0;顿丘
361;179;114;64;南燕
362;51;116;128;桂陵
363;179;118;192;平丘
364;52;120;255;衡雍
365;180;122;0;鄢陵
366;52;124;64;宜阳
367;180;126;128;新城
368;52;128;192;阳城
369;180;130;255;阳翟
370;52;132;0;郾
371;181;134;64;析
372;53;136;128;卢氏
373;181;138;192;梁
374;53;140;255;襄城
375;181;142;0;叶
376;53;144;64;鲁阳
377;181;146;128;应
378;54;148;192;阳陵
379;182;150;255;舞阳
380;54;152;0;中牟
381;182;154;64;商密
382;54;156;128;宛
383;182;158;192;穰
384;54;32;255;蓼
385;183;34;0;陈
386;55;36;64;黄
387;183;38;128;方城
388;55;40;192;上蔡
389;183;42;255;新蔡
390;55;44;0;郦
391;183;46;64;城阳
392;56;48;128;阳夏
393;184;50;192;苦县
394;56;52;255;顿
395;184;54;0;房
396;56;56;64;巨阳
397;184;58;128;胡
398;56;60;192;稷
399;185;62;255;安城
400;57;64;0;息
401;185;66;64;鹿上
402;57;68;128;蒋
403;185;70;192;慎
404;57;72;255;訾梁
405;185;74;0;海陵
406;58;76;64;广陵
407;186;78;128;棠
408;58;80;192;淮阴
409;186;82;255;盱眙
410;58;84;0;卑梁
411;186;86;64;钟离
412;58;88;128;六
413;187;90;192;随
414;59;92;255;昭关
415;187;94;0;舒鸠
416;59;96;64;舒
417;187;98;128;巢
418;59;100;192;桐
419;187;102;255;龙舒
420;60;104;0;寿春
421;188;106;64;射阳
422;60;108;128;英氏
423;188;110;192;琐
424;60;112;255;合肥
425;188;114;0;东城
426;60;116;64;湖陵
427;189;118;128;巢
428;61;120;192;鸠兹
429;189;122;255;朱方
430;61;124;0;云阳
431;189;126;64;延陵
432;61;128;128;奄
433;189;130;192;南武城
434;62;132;255;姑苏
435;190;134;0;武原
436;62;136;64;陉
437;190;138;128;御儿
438;62;140;192;会稽
439;190;142;255;鄞
440;62;144;0;句无
441;191;146;64;姑蔑
442;63;148;128;句章
443;191;150;192;甬句东
444;63;152;255;朁
445;191;154;0;爰陵
446;63;156;64;陵阳
447;191;158;128;秣陵
448;64;32;192;丹阳
449;192;34;255;无锡
450;64;36;0;钱唐
451;192;38;64;乌伤
452;64;40;128;诸暨
453;192;42;192;乌程
454;64;44;255;阳羡
455;193;46;0;鄣县
456;65;48;64;歙县
457;193;50;128;黟县
458;65;52;192;夷城
459;193;54;255;绞
460;65;56;0;榖
461;193;58;64;邓
462;66;60;128;鄢
463;194;62;192;上鄀
464;66;64;255;夔
465;194;66;0;津
466;66;68;64;郢
467;194;70;128;权
468;66;72;192;京山
469;195;74;255;唐
470;67;76;0;郧
471;195;78;64;轸
472;67;80;128;贰
473;195;82;192;州
474;67;84;255;夷陵
475;195;86;0;夏
476;68;88;64;鄂
477;196;90;128;新市
478;68;92;192;邾县
479;196;94;255;西陵
480;68;96;0;卢
481;196;98;64;沙羡
482;68;100;128;竟陵
483;197;102;192;酉原山
484;69;104;255;华容
485;197;106;0;沈鹿
486;69;108;64;汨罗
487;197;110;128;涔阳
488;69;112;192;高蔡
489;197;114;255;溆浦
490;70;116;0;辰阳
491;198;118;64;镡城
492;70;120;128;无假关
493;198;122;192;长沙
494;70;124;255;衡山
495;198;126;0;庞
496;70;128;64;鄙
497;199;130;128;临武
498;71;132;192;彭泽
499;199;134;255;艾
500;71;136;0;敷浅原
501;199;138;64;余干
502;71;140;128;南野
503;199;142;192;沅陵
504;72;144;255;耒阳
505;200;146;0;郴县
506;72;148;64;庐陵
507;200;150;128;番阳
508;72;152;192;夫夷
509;200;154;255;南平
510;72;156;0;南昌
511;201;158;64;柴桑
512;73;32;128;宜春
513;201;34;192;南城
514;73;36;255;雩都
515;201;38;0;临海
516;73;40;64;章安
517;201;42;128;永宁
518;74;44;192;平昌
519;202;46;255;建安
520;74;48;0;侯官
521;202;50;64;将乐
522;74;52;128;南平
523;202;54;192;东安
524;74;56;255;龙岩
525;203;58;0;北夷州
526;75;60;64;南夷州
527;203;62;128;缚娄
528;75;64;192;阳禺
529;203;66;255;厉门塞
530;75;68;0;龙川
531;203;70;64;番禹
532;76;72;128;中留
533;204;74;192;临尘
534;76;76;255;零陵
535;204;78;0;四会
536;76;80;64;揭阳
537;204;82;128;曲江
538;76;84;192;高凉
539;205;86;255;苍梧
540;77;88;0;徐闻
541;205;90;64;儋耳
542;77;92;128;珠崖
543;205;94;192;合浦
544;77;96;255;广郁
545;205;98;0;领方
546;78;100;64;定周
547;206;102;128;鄨县
548;78;104;192;牂牁
549;206;106;255;汉阳
550;78;108;0;夜郎
551;206;110;64;平夷
552;78;112;128;毋敛
553;207;114;192;朱提
554;79;116;255;邛都
555;207;118;0;大莋
556;79;120;64;灵关道
557;207;122;128;会无
558;79;124;192;姑复
559;207;126;255;比苏
560;80;128;0;不韦
561;208;130;64;哀牢
562;80;132;128;云南
563;208;134;192;味县
564;80;136;255;漏江
565;208;138;0;西随
566;80;140;64;连然
567;209;142;128;滇池
568;81;144;192;贲古
569;209;146;255;永寿
570;81;148;0;南涪
571;209;150;64;交趾
572;81;152;128;龙编
573;209;154;192;九真
574;82;156;255;允吾
575;210;158;0;临羌
576;82;32;64;鹑阴
577;210;34;128;姑臧
578;82;36;192;武威
579;210;38;255;番和
580;82;40;0;张掖
581;211;42;64;酒泉
582;83;44;128;居延
583;211;46;192;玉门
584;83;48;255;敦煌
585;211;50;0;会水
586;83;52;64;冥安
587;211;54;128;朝鲜
588;84;56;192;东北
589;212;58;155;匈奴
590;84;60;0;俄罗斯
591;212;62;64;中亚
592;84;64;128;皮山
593;212;66;92;南亚
594;84;68;255;青藏
595;213;70;0;东南亚
596;85;150;200;未知之海32
597;15;15;255;辽东湾
598;30;80;255;辽西沿海
599;50;60;255;渤海湾
600;70;40;255;莱州湾
601;30;30;254;辽东沿海
602;40;90;254;西朝鲜湾
603;50;50;254;东莱海
604;70;70;254;成山头
605;60;100;254;琅琊海
606;80;80;254;郁洲山
607;45;85;254;长江口
608;85;55;254;浙江口
609;30;110;254;东海湾
610;55;55;254;夷洲海峡
611;90;100;254;广州湾
612;20;25;254;珠崖海
613;100;60;254;交州湾
614;207;240;32;彭泽
615;160;32;80;五湖
616;88;112;64;太行山
617;216;114;128;吕梁山
618;88;116;192;终南山
619;216;118;255;大巴山
620;88;120;0;华山
621;216;122;64;泰山
622;88;124;128;武夷山
623;33;77;253;江水入海
624;77;33;253;九江下游
625;66;99;253;彭蠡沿岸
626;99;66;253;九江上游
627;88;88;253;云梦泽
628;99;99;99;洞庭
629;103;43;253;汉水
630;43;103;253;巫峡
631;73;122;250;巨淀
632;181;146;129;蓬莱岛
633;54;148;194;仙境神域
634;73;42;233;大野泽
635;51;46;233;巨鹿泽
636;59;48;233;荥泽
637;128;34;164;青海
638;164;34;129;青海
639;238;238;238;青海湖
640;128;66;192;西康
641;128;164;34;阿里
642;128;34;122;羌塘西
643;100;34;122;羌塘中
644;50;34;122;山南
645;50;34;222;羌塘东
646;253;255;255;湖泊
647;123;255;255;外东北
648;123;123;255;外西域
649;123;123;254;吐蕃甲地
650;123;123;2;吐蕃乙地
651;123;123;253;吐蕃丙地
652;123;123;3;吐蕃丁地
653;123;123;252;吐蕃戊地
654;123;123;4;吐蕃己地
655;123;123;251;吐蕃庚地
656;123;123;5;吐蕃幸地
657;123;123;250;吐蕃壬地
658;123;123;6;吐蕃癸地
659;123;123;249;西康甲地
660;123;123;7;西康乙地
661;123;123;148;西康丙地
662;123;123;8;西康丁地
663;128;34;88;西沙群岛海岸
664;88;34;188;玄兔
665;16;251;251;吕宋海峡
666;121;251;251;吕宋海岸
667;171;251;251;暹罗湾西岸
668;51;251;251;暹罗湾东岸
669;88;251;251;朝鲜海岸
670;99;251;251;未知海域1
671;198;251;251;吕宋近海
672;6;251;251;未知海域2
673;200;251;251;未知海域3
674;3;251;251;未知海域4
675;199;251;251;未知海域5
676;7;251;251;未知海域6
677;197;251;251;未知海域7
678;8;251;251;未知海域8
679;196;251;251;未知海域9
680;9;251;251;未知海域10
681;195;251;251;未知海域11
682;10;251;251;未知海域12
683;194;251;251;未知海域13
684;11;251;251;未知海域14
685;193;251;251;未知海域15
686;12;251;251;未知海域15
687;192;251;251;未知海域16
688;13;251;251;未知海域17
689;191;251;251;未知海域18
690;14;200;200;未知海域19
691;190;200;200;未知海域20
692;15;200;200;未知海域21
693;180;200;200;未知海域22
694;16;200;200;未知海域23
695;170;200;200;未知海域24
696;17;200;200;未知海域25
697;160;200;200;日本海
698;18;200;200;未知海域26
699;150;200;200;未知海域27
700;19;200;200;未知海域28
701;140;200;200;未知海域29
702;20;200;200;未知海域30
703;130;200;200;未知海域31
704;21;200;200;未知海域31
705;21;10;200;北天竺
706;21;10;150;中北天竺
707;21;10;50;西天竺
708;111;10;50;中西天竺
709;111;110;50;下西天竺
710;111;110;250;西南天竺
711;111;110;33;南天竺
712;112;10;33;东南天竺
713;113;10;80;上北天竺
714;14;10;114;上南天竺
715;15;10;220;孟加拉
716;116;116;116;东天竺
717;117;117;211;中东天竺
718;118;211;211;东北天竺
719;119;66;66;上东南天竺
720;220;66;66;上南天竺
721;221;166;221;中天竺
722;21;166;221;中上天竺
723;220;166;66;中部天竺
724;77;166;66;难兜
725;225;166;66;长白
726;225;126;66;尉犁
727;127;126;66;婼羌
728;228;126;66;兴凯湖
729;228;229;66;肃慎
730;228;9;66;南荒甲地
731;228;9;166;南荒乙地
732;28;9;166;南荒丙地
733;150;9;166;南荒丁地
734;10;9;166;南荒戍地
735;110;9;6;中东甲地
736;83;184;6;中东乙地
737;83;184;86;中东丙地
738;83;18;86;中东丁地
739;177;18;86;罗刹国甲地
740;177;158;86;罗刹国乙地
741;7;158;86;罗刹国丙地
742;7;158;6;罗刹国丁地
743;7;18;93;罗刹国戍地
744;7;188;93;罗刹国己地
745;57;188;93;罗刹国庚地
746;217;188;93;罗刹国辛地
747;217;188;3;罗刹国壬地
748;217;8;3;中东戍地
749;117;8;3;中东己地
750;57;108;3;大定
751;157;108;3;临潢
752;157;108;93;通辽
753;157;108;193;渌地
754;157;18;193;英地
755;15;18;193;吉地
756;15;58;243;泰地
757;165;58;243;黄龙
758;1;58;243;于阗
759;188;58;243;乐浪
760;188;8;243;临屯
761;188;228;243;渠勒
762;188;228;43;戎卢
763;88;228;43;且末
764;6;228;43;劫
765;6;228;143;车师
766;124;228;143;鬼兹
767;124;44;143;姑墨
768;124;44;243;温宿
769;124;244;243;乌孙
770;124;244;99;大宛
771;124;44;99;楼兰
772;225;44;99;扜弥
773;225;44;22;精绝
774;166;44;22;匈奴聚集地1
775;166;88;22;匈奴聚集地9
776;166;88;44;匈奴聚集地17
777;166;122;88;匈奴聚集地18
778;166;122;122;匈奴聚集地5
779;210;122;122;匈奴聚集地8
780;210;160;122;匈奴聚集地7
781;175;90;122;匈奴聚集地6
782;75;90;122;匈奴聚集地11
783;75;190;122;匈奴聚集地12
784;75;190;22;匈奴聚集地2
785;75;190;82;匈奴聚集地15
786;75;190;152;匈奴聚集地3
787;75;19;152;匈奴王庭
788;75;19;252;匈奴聚集地4
789;145;19;152;匈奴聚集地10
790;145;19;52;匈奴聚集地13
791;145;129;52;匈奴聚集地14
792;185;109;52;匈奴聚集地16
793;185;19;52;东胡聚集地1
794;185;19;212;东胡聚集地2
795;205;19;172;东胡王庭
796;225;19;152;东胡聚集地6
797;245;19;112;东胡聚集地5
798;245;119;112;东胡聚集地7
799;175;119;112;蛮夷之地25
800;175;119;32;蛮夷之地25
801;144;119;32;罗刹之地1
802;144;219;32;罗刹之地2
803;144;219;152;罗刹之地3
804;144;89;152;罗刹之地4
805;84;58;192;罗刹之地5
806;194;89;152;罗刹之地6
807;194;66;152;罗刹之地7
808;54;66;152;罗刹之地8
809;54;99;182;罗刹之地9
810;54;99;242;罗刹之地10
811;254;99;242;罗刹之地11
812;254;99;112;罗刹之地12
813;254;99;152;罗刹之地13
814;254;99;42;罗刹之地14
815;254;133;42;罗刹之地15
816;254;133;142;罗刹之地16
817;134;133;142;罗刹之地17
818;134;168;200;罗刹之地18
819;134;248;200;罗刹之地19
820;134;48;200;罗刹之地20
821;234;48;200;罗刹之地21
822;234;48;20;罗刹之地22
823;234;48;80;罗刹之地23
824;234;48;180;罗刹之地24
825;84;48;180;罗刹之地25
826;84;158;180;罗刹之地26
827;84;158;70;罗刹之地27
828;84;158;240;罗刹之地28
829;84;58;240;罗刹之地29
830;224;58;240;罗刹之地30
831;84;18;240;罗刹之地31
832;118;32;128;高句丽
833;247;34;192;上殷台
834;119;36;255;纥升骨
835;128;34;79;西盖马
836;0;36;126;番汗
837;128;38;173;夫租
838;0;40;32;吞列
839;128;42;79;乐浪
840;0;44;126;昭明
841;129;46;173;真番
842;1;48;32;沧海
843;129;50;79;临屯
844;1;52;126;不而
845;125;159;91;嵩山
846;112;141;82;方城山
847;145;173;116;大别山
848;74;94;55;五岭
849;56;82;150;汶山
850;37;54;99;陇山
851;33;70;116;邛莋山
852;88;141;207;武陵山
853;100;100;255;沮洳山
854;100;100;100;霍太山
855;200;86;86;沔关
856;122;42;0;梦
857;179;168;64;垂葭
858;26;42;233;笙渎
859;54;204;0;莘
860;217;82;0;毫
861;44;148;161;葵丘
862;201;122;46;洮
863;16;92;209;清丘
864;105;112;115;聂
865;89;64;128;铁丘
866;186;38;64;帝丘
867;129;15;132;浚
868;169;163;192;桑台
869;54;112;82;蒲
870;23;61;148;胙
871;184;66;64;虚
872;176;42;255;戏阳
873;199;31;77;马陵
874;189;134;128;沙鹿
875;71;20;219;寒氏
876;59;222;105;干侯
877;207;156;51;林州
878;201;150;201;百泉
879;189;161;64;鹤壁
880;56;130;115;牵
881;143;82;176;高鱼
882;117;199;242;须句
883;110;117;122;郿
884;26;158;219;宿
885;199;59;48;郈
886;242;115;38;京兹
887;71;97;214;铸
888;173;153;140;龙
889;64;64;36;泰安
890;28;130;135;长勺
891;125;133;48;平洲
892;199;92;10;阚
893;219;117;161;咸丘
894;120;135;255;梁丘
895;10;20;255;极
896;117;244;77;棠
897;171;84;222;寺
898;54;173;138;朗
899;186;69;13;胡陵
900;158;99;102;骀上
901;117;173;82;滥
902;237;232;36;犁
903;20;38;250;绎
904;18;38;54;负瑕
905;135;61;43;吾
906;212;128;10;丘舆
907;181;56;54;东阳
908;28;64;97;虚丘
909;191;199;143;葛
910;237;20;28;奚
911;158;69;217;枣庄
912;237;143;199;菟裘
913;191;224;227;堂阜
914;31;18;41;阳
915;69;31;33;祊
916;150;156;242;桃丘
917;33;82;82;上冥
918;217;217;28;菅
919;245;148;56;啮桑
920;252;242;18;留
921;240;15;28;吕
922;59;237;227;城锆
923;204;163;41;犬丘
924;207;23;150;朝郟
925;196;48;46;杨梁
926;87;156;31;空桐
927;140;36;31;首止
928;140;222;33;大棘
929;179;115;235;牛首
930;107;156;204;圉
931;148;148;64;亳州
932;64;33;222;鸣雁
933;219;163;74;幽
934;39;56;232;翟
935;61;143;128;昌国
936;105;82;150;莱柞
937;87;140;97;鲍
938;112;122;115;平陵
939;219;140;23;贝丘
940;176;99;71;惠民
941;204;153;82;德
942;85;128;32;饶安
943;156;71;92;平北
944;31;201;38;晏
945;117;148;191;石窌
946;87;84;194;石门
947;84;130;173;武平
948;219;168;173;平舒
949;184;33;43;武垣
950;51;94;156;武遂
951;125;209;138;乐成
952;230;219;240;广平
953;230;199;240;邢
954;230;219;212;关
955;38;212;230;石邑
956;232;34;3;宜安
957;10;48;184;栾
958;224;204;46;宋子
959;199;115;84;苦陉
960;94;209;138;野台
961;125;130;64;龙
962;0;3;133;番吾
963;212;217;61;信城
964;120;186;235;清阳
965;87;222;158;南宫
966;94;105;235;缭
980;59;184;82;临
981;201;145;66;望都
982;214;207;18;东阳
983;130;128;64;邶殿
984;112;120;219;邮裳
985;204;168;201;东郓
986;189;199;181;鄢陵
987;204;64;41;且于
988;204;158;41;蒲候氏
989;222;23;20;渠丘
990;74;145;94;祝丘
991;82;219;227;幽丘
992;33;48;112;宿迁
993;107;217;166;善稻
994;176;161;133;娄林
995;209;13;28;良
996;201;105;61;蒲隧
997;209;18;43;鸣鹿
998;5;191;212;厉
999;184;97;99;柽
1000;250;97;110;干溪
1001;255;26;33;南顿
1002;230;250;235;项
1003;138;148;156;养
1004;232;133;28;房钟
1005;133;219;48;召陵
1006;94;158;166;邓
1007;135;99;38;平舆
1008;69;74;74;桑隧
1009;107;171;66;正阳
1010;158;181;48;栎
1011;87;87;199;弦
1012;87;168;122;白
1013;219;102;36;信阳
1014;219;217;54;道
1015;46;217;54;汝南
1016;47;133;128;铚
1017;191;153;61;宿州
1018;189;207;201;蒙城
1019;224;33;54;祭
1020;227;227;222;菟氏
1021;189;89;92;棐
1022;194;196;171;长葛
1023;36;41;207;鄢
1024;191;41;196;桐丘
1025;191;117;196;皋鼬
1026;110;191;122;栎
1027;36;77;122;上棘
1028;125;54;122;高氏
1029;179;145;23;饶角
1030;82;28;196;颍
1031;31;230;186;践土
1032;52;54;33;酸枣
1033;117;140;196;黄池
1034;56;158;110;制
1035;143;133;122;京
1036;171;133;122;怀
1037;207;43;92;修武
1038;115;150;92;于
1039;115;150;161;攒
1040;207;186;74;曲阳
1041;214;94;46;王丰
1042;150;194;77;蔷
1043;196;77;209;莘
1044;171;217;207;柏谷
1045;191;128;212;桑田
1046;130;217;207;下阳
1047;122;46;189;冥
1048;232;135;26;羁马
1049;224;214;38;臼衰
1050;125;209;54;郇
1051;209;33;26;解梁
1052;209;130;43;桑泉
1053;194;209;186;王官
1054;46;38;43;苦成
1055;125;204;184;耿
1056;23;135;125;冀
1057;184;128;56;稷
1058;94;107;148;左邑
1059;99;194;156;周阳
1060;99;224;66;聚
1061;230;235;71;陉庭
1062;207;43;66;家谷
1063;207;99;66;贾
1064;207;99;176;高粱
1065;199;219;201;郜
1066;77;209;145;垂棘
1067;224;194;145;霍
1068;224;194;33;阴
1069;138;191;161;昆阳
1070;38;61;242;舞阳
1071;138;107;161;不羹
1072;222;31;48;吕
1073;0;243;193;淯阳
1074;130;97;255;谢
1075;222;214;48;泌阳
1076;61;212;89;卷
1077;222;138;48;申武城
1078;227;97;102;新野
1079;193;161;64;襄阳
1080;191;194;214;蓝
1081;69;94;214;成臼
1082;194;110;51;那处
1083;230;194;189;当阳
1084;48;120;79;选
1085;10;212;120;召
1086;163;82;217;汧渭之会
1087;69;209;217;秦平阳
1088;186;156;120;汧
1089;186;222;120;郿
1090;171;227;204;骀
1091;168;217;125;中都邑
1092;20;163;186;平陶
1093;212;191;168;梗阳
1094;162;161;214;凃水
1095;162;69;166;萁城
1096;77;77;219;悬雍山
1097;160;93;255;凿台
1098;161;204;107;荧庭
1099;189;94;59;端氏
1100;130;217;201;光狼城
1101;173;135;128;皋落
1102;135;105;212;泫氏
1103;46;59;59;上艾
1104;133;143;133;虑虒
1105;54;176;87;卤城
1106;181;191;92;阏与
1107;110;186;54;橑阳
1108;125;89;87;涅
1109;51;179;171;余吾
1110;189;194;168;冶父
1111;135;128;163;脾泄
1112;255;10;26;湫
1113;36;18;153;罗
1114;3;18;8;秦
1115;163;161;158;略阳
1116;73;255;132;褒中
1117;216;152;59;安阳
1118;226;130;224;白河
1119;228;120;56;长利
1120;127;0;120;武陵
1121;148;199;204;北丰
1122;255;232;145;平郭
1123;94;120;140;安市
